2026-09-23T10:00:40-10:00 owner: start pid=811306 interval_s=30.0 (thin owner; no pack scan)
2026-09-23T10:00:40-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:00:40-10:00 owner: stop
2026-09-23T10:00:53-10:00 action: WAITING / No data — bleak missing: No module named 'bleak'
2026-09-23T10:00:53-10:00 action: WAITING / No data — bleak missing: No module named 'bleak'
2026-09-23T10:00:55-10:00 owner: start pid=811353 interval_s=30.0 (thin owner; no pack scan)
2026-09-23T10:00:55-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:00:55-10:00 owner: stop
2026-09-23T10:01:06-10:00 owner: start pid=811454 interval_s=30.0 (thin owner; no pack scan)
2026-09-23T10:01:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:01:32-10:00 action: WAITING / No data — bleak missing: No module named 'bleak'
2026-09-23T10:01:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:02:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:02:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:03:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:03:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:04:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:04:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:05:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:05:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:06:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:06:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:07:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:07:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:08:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:08:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:09:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:09:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:10:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:10:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:11:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:11:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:12:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:12:21-10:00 action: WAITING / No data — AVA_ECOFLOW_USER_ID not set (env file missing or empty)
2026-09-23T10:12:34-10:00 action: WAITING / No data — AVA_ECOFLOW_USER_ID not set (env file missing or empty)
2026-09-23T10:12:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:13:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:13:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:14:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:14:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:15:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:15:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:16:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:16:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:17:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:17:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:18:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:18:36-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
2026-09-23T10:19:06-10:00 owner: heartbeat ok — atomic actions own short BLE sessions; poll buckets disabled
